TYP_ZVÍŘETE;JMÉNO_ZVÍŘETE;GENDER
Tiger;mysterious jackal;M
Parrot;doubtful gamefowl;Z
Fox;simple cicada;Z
Tiger;doubtful cat;M
Cat;impressive wombat;Z
Dog;competitive junglefowl;Z
Parrot;sexual swordtail;M
Parrot;superb yak;Z
Lion;anxious chameleon;Z
Fox;melted dog;Z
Lizard;sore planarian;M
Horse;strange ox;M
Tiger;sunny harrier;M
Fox;bumpy pike;M
Dog;stupid fish;Z
Lizard;bold falcon;Z
Donkey;creepy egret;M
Bear;magic snake;Z
Horse;alright orca;M
Bear;dead coral;Z
Tiger;worthwhile canidae;Z
Donkey;secret dolphin;M
Cat;minimum tarsier;Z
Dog;fit hornet;M
Parrot;productive dolphin;Z
Parrot;fierce booby;M
Parrot;magenta limpet;Z
Lizard;relaxed cattle;M
Dog;divine goat;M
Parrot;curious stoat;Z
Cat;delightful mackerel;M
Fox;noble marten;Z
Lion;jolly tuna;M
Donkey;polite flea;M
Cat;biological dog;M
Lion;awful alpaca;M
Cat;ashamed booby;M
Parrot;organic termite;Z
Lizard;experienced peafowl;Z
Lion;uniform halibut;Z
Parrot;bewildered sheep;M
Lizard;specified pony;Z
Cat;various piranha;Z
Dog;unconscious snipe;Z
Tiger;mechanical wasp;Z
Fox;wild krill;M
Tiger;condemned cricket;M
Donkey;practical parrot;M
Parrot;ordinary bovid;Z
Horse;hushed catfish;Z
Horse;rapid warbler;Z
Tiger;honest spoonbill;M
Cat;alone koi;M
Donkey;underlying swan;M
Lion;loud cephalopod;Z
Lizard;atomic puma;M
Parrot;reduced goat;Z
Lizard;planned barracuda;Z
Fox;legal rabbit;M
Lion;early flyingfish;Z
Lizard;suitable tapir;M
Bear;bright shark;Z
Parrot;agreeable octopus;Z
Donkey;stupid zebra;Z
Bear;green echidna;Z
Lizard;amazing octopus;Z
Horse;clean tarsier;M
Lizard;visible roundworm;Z
Lizard;worldwide eel;M
Horse;raw tapir;Z
Lion;creepy muskox;Z
Parrot;ideological louse;M
Horse;civilian aardvark;M
Tiger;secret ladybug;Z
Bear;wicked canid;Z
Tiger;blank guanaco;Z
Tiger;crude badger;M
Parrot;central grouse;Z
Lizard;vulnerable gerbil;Z
Lion;panicky platypus;M
Lizard;clever cow;M
Cat;many dolphin;M
Parrot;keen deer;Z
Tiger;near cricket;Z
Cat;giant aardwolf;M
Cat;planned zebra;Z
Dog;handsome eel;Z
Dog;crooked gibbon;Z
Fox;resulting grasshopper;Z
Cat;mid kingfisher;Z
Bear;bewildered elk;Z
Horse;short marsupial;M
Fox;distinctive dog;M
Lizard;wide vicuna;Z
Bear;marginal cat;M
Parrot;severe chimpanzee;Z
Lion;late ant;M
Tiger;prime boar;M
Bear;grotesque elephant;Z
Fox;quick silkworm;M
Lion;high tiger;Z
Dog;fat roundworm;M
Cat;christian iguana;Z
Lion;written tiger;M
Lion;expensive gayal;Z
Horse;curly rodent;Z
Cat;fascinating gibbon;Z
Dog;human wildcat;Z
Tiger;electric parakeet;M
Horse;mental alligator;Z
Horse;relevant chicken;M
Dog;funny bonobo;Z
Donkey;forward puma;Z
Cat;entire aardvark;Z
Lizard;cool horse;M
Bear;silly squirrel;Z
Tiger;practical reptile;M
Bear;upset guppy;Z
Tiger;determined cattle;M
Tiger;top clam;M
Tiger;strict tyrannosaurus;M
Tiger;important junglefowl;M
Lizard;functional wolf;Z
Horse;roman mouse;M
Cat;preliminary louse;Z
Bear;new galliform;M
Lion;lengthy swallow;M
Horse;brief stork;Z
Bear;uninterested viper;M
Fox;unusual constrictor;M
Donkey;delightful starfish;M
Fox;productive tarantula;M
Tiger;loose rabbit;Z
Horse;natural sheep;Z
Donkey;surviving gibbon;M
Bear;rough unicorn;M
Lion;electrical chicken;Z
Donkey;disgusted bear;M
Bear;senior tiglon;M
Horse;beautiful parrot;Z
Fox;stingy sturgeon;M
Horse;low gull;M
Lion;left frog;Z
Lizard;alone vulture;Z
Parrot;diverse peafowl;Z
Donkey;classical frog;Z
Parrot;aggregate mastodon;Z
Dog;uninterested perch;M
Dog;tropical cow;M
Parrot;strong aardvark;Z
Donkey;confidential tiger;M
Horse;prior hare;M
Fox;vivid mollusk;Z
Tiger;visible whippet;M
Horse;extraordinary canid;Z
Cat;enchanting wasp;Z
Horse;spontaneous silverfish;Z
Lion;short lemming;Z
Parrot;likely ostrich;Z
Cat;great stork;Z
Tiger;curved caribou;M
Dog;robust muskox;Z
Fox;progressive canidae;Z
Bear;minor llama;Z
Lion;managerial mule;M
Lion;great orca;Z
Fox;wicked pony;Z
Fox;careful beetle;M
Horse;simple mite;Z
Fox;dizzy crane;M
Cat;delicious tiglon;M
Lion;physical antelope;Z
Fox;dramatic cheetah;Z
Bear;similar tick;M
Parrot;complete bird;M
Bear;favourite egret;M
Horse;stiff sloth;M
Lizard;random cricket;M
Cat;fashionable centipede;Z
Fox;unsightly gecko;M
Cat;acceptable rook;M
Parrot;territorial clam;M
Dog;smart goldfish;Z
Tiger;popular salmon;Z
Bear;disturbing rabbit;Z
Donkey;comfortable yak;M
Parrot;miniature alpaca;M
Lizard;everyday goat;M
Cat;loud spider;M
Parrot;everyday barracuda;M
Horse;royal goat;M
Horse;rare cattle;Z
Lion;magnetic beaver;M
Horse;musical chipmunk;Z
Dog;national asp;Z
Dog;nervous egret;M
Parrot;silly marmot;M
Lizard;tall hare;Z
Donkey;horrible caribou;M
Fox;wicked tarsier;Z
Tiger;alive cuckoo;M
Donkey;acceptable frog;M
Cat;cautious lobster;Z
Lion;reasonable swordtail;M
Lizard;special wallaby;Z
Cat;vertical slug;Z
Donkey;different porcupine;Z
Lizard;upset mule;M
Lizard;legislative swan;Z
Cat;condemned cheetah;Z
Bear;jealous goat;M
Lizard;female possum;M
Donkey;lively hawk;Z
Lion;deliberate clam;M
Tiger;old hare;Z
Lion;miniature donkey;M
Lizard;angry stoat;Z
Lizard;beautiful piranha;M
Donkey;curly manatee;M
Tiger;suspicious duck;M
Lion;bad panda;M
Parrot;inevitable wildcat;Z
Cat;western kiwi;M
Dog;unconscious bobcat;Z
Cat;occupational felidae;Z
Lizard;sunny raccoon;M
Bear;possible trout;M
Parrot;heavy barracuda;M
Fox;emotional yak;M
Tiger;quiet hoverfly;M
Horse;encouraging hornet;M
Dog;vulnerable weasel;Z
Lion;oral junglefowl;M
Bear;chief crayfish;Z
Tiger;explicit louse;M
Lizard;yellow armadillo;Z
Lion;socialist wildfowl;M
Lizard;vast locust;Z
Cat;striped harrier;M
Cat;presidential swallow;Z
Donkey;excited heron;M
Cat;tragic possum;Z
Donkey;nasty takin;Z
Donkey;wet woodpecker;Z
Parrot;fashionable lobster;Z
Parrot;grim bedbug;M
Cat;functional rodent;Z
Lizard;heavy alligator;M
Dog;practical goose;Z
Cat;enthusiastic koi;M
Tiger;fascinating lizard;M
Donkey;black primate;M
Bear;determined amphibian;M
Lion;constitutional kite;M
Cat;testy elk;M
Fox;painful mastodon;M
Parrot;neat constrictor;Z
Lizard;comfortable cougar;Z
Parrot;tough gayal;M
Bear;poised meadowlark;Z
Lion;sparkling mite;Z
Lion;particular eagle;Z
Parrot;regional ostrich;Z
Cat;cooing ocelot;Z
Tiger;key panther;M
Lizard;united dormouse;M
Parrot;selective harrier;Z
Bear;kind pony;Z
Lion;puzzled perch;Z
Donkey;marxist pig;Z
Dog;jittery quokka;M
Parrot;representative anteater;Z
Fox;wet chicken;Z
Fox;verbal albatross;Z
Dog;overwhelming macaw;M
Donkey;incredible scallop;Z
Bear;pretty ladybug;Z
Horse;subtle gerbil;Z
Parrot;doubtful dragonfly;Z
Fox;profitable hyena;Z
Dog;local weasel;Z
Cat;ugliest guanaco;M
Lion;equivalent earwig;M
Bear;frail clownfish;Z
Lizard;social goldfish;M
Lizard;damp skunk;M
Dog;young unicorn;Z
Tiger;semantic guanaco;Z
Horse;prime sparrow;Z
Donkey;labour lark;Z
Tiger;prickly felidae;M
Horse;personal haddock;M
Tiger;zealous hummingbird;M
Parrot;ethnic herring;M
Lion;dirty halibut;Z
Lizard;cool fox;M
Bear;spatial boa;M
Lizard;valid armadillo;Z
Lion;urban buzzard;M
Cat;mean lobster;Z
Bear;wonderful angelfish;M
Donkey;metropolitan narwhal;M
Parrot;present scorpion;Z
Parrot;musical cheetah;M
Dog;controversial perch;Z
Bear;opposite barnacle;M
Parrot;realistic peafowl;Z
Fox;soft clownfish;M
Fox;real marlin;M
Bear;cultural gazelle;M
Lion;outstanding beetle;Z
Lizard;splendid bedbug;Z
Fox;moral yak;Z
Lion;high basilisk;M
Lion;particular bobcat;M
Fox;wide echidna;Z
Fox;simple galliform;Z
Lizard;real coral;M
Parrot;mad bear;Z
Parrot;few basilisk;M
Dog;efficient wombat;M
Donkey;remote boa;Z
Cat;anxious alpaca;M
Cat;grey locust;M
Bear;yellow cricket;Z
Donkey;satisfied hoverfly;M
Donkey;dull goldfish;Z
Fox;intermediate bandicoot;Z
Bear;tender spider;Z
Cat;squealing parrot;M
Lion;existing ape;M
Dog;alone starfish;M
Lizard;varied basilisk;Z
Donkey;solar catshark;M
Donkey;lucky dog;Z
Dog;unlikely sturgeon;M
Lizard;spare frog;Z
Bear;noble chipmunk;Z
Dog;constitutional caribou;Z
Fox;gross shark;M
Horse;superb goose;Z
Lizard;gigantic hornet;M
Cat;resonant koala;Z
Lizard;aware reindeer;Z
Dog;damp gerbil;Z
Dog;odd salamander;M
Fox;attractive lizard;M
Lion;involved llama;Z
Cat;top eagle;Z
Parrot;nervous goat;Z
Parrot;tough swan;Z
Tiger;mammoth shrew;M
Cat;hilarious rodent;M
Lion;regional turkey;Z
Dog;scientific bass;M
Dog;intense dinosaur;Z
Parrot;fast ape;Z
Horse;cheap tuna;Z
Fox;previous fox;Z
Tiger;fashionable lemming;Z
Parrot;sick otter;Z
Cat;voluntary rat;Z
Horse;widespread quail;Z
Fox;faithful guppy;Z
Tiger;peaceful wolverine;M
Fox;tense bandicoot;Z
Dog;respective crocodile;M
Lizard;male mandrill;M
Lion;comparative silkworm;M
Cat;ill hoverfly;M
Fox;round ferret;Z
Parrot;injured marmoset;M
Parrot;wee raccoon;Z
Donkey;jealous reindeer;M
Bear;disappointed worm;M
Tiger;afraid quokka;M
Fox;supposed impala;Z
Donkey;adjacent swallow;Z
Lion;constitutional reindeer;M
Donkey;inc raccoon;M
Lion;hostile eagle;M
Lizard;good armadillo;Z
Donkey;conscious puffin;Z
Lizard;wide galliform;M
Dog;doubtful falcon;Z
Bear;excellent duck;M
Parrot;extraordinary koi;M
Tiger;relieved dog;M
Fox;pleasant lungfish;M
Dog;irrelevant herring;Z
Lizard;independent rattlesnake;Z
Fox;running constrictor;M
Dog;powerful lobster;M
Fox;tropical flamingo;M
Tiger;graceful quokka;M
Lizard;probable goldfish;M
Parrot;sticky catfish;M
Dog;accepted pike;M
Lion;depressed pigeon;Z
Parrot;statistical goat;M
Parrot;ashamed sole;M
Horse;slight python;Z
Lion;faithful python;Z
Lion;difficult wildebeest;Z
Donkey;wonderful gamefowl;Z
Dog;ltd bobcat;Z
Parrot;complex coral;M
Donkey;entire pike;M
Fox;competitive tahr;Z
Donkey;ethnic crawdad;M
Tiger;atomic wolf;Z
Fox;red wren;M
Bear;glorious raven;Z
Donkey;colorful echidna;Z
Cat;motionless cicada;M
Dog;nosy alligator;Z
Fox;male orangutan;Z
Tiger;sleepy lobster;M
Donkey;technical prawn;M
Lion;controlled hornet;M
Parrot;convinced worm;Z
Bear;frequent bonobo;M
Horse;willing carp;Z
Bear;zany mollusk;Z
Lion;spiritual halibut;M
Lizard;wild puffin;M
Cat;blue orangutan;Z
Fox;content duck;Z
Lizard;endless wombat;Z
Fox;jealous flamingo;M
Dog;white centipede;M
Bear;national salmon;M
Bear;illegal xerinae;M
Tiger;surrounding crow;Z
Bear;grubby planarian;M
Lizard;famous chinchilla;M
Parrot;explicit chinchilla;M
Lizard;opposite kangaroo;Z
Dog;decisive vulture;Z
Fox;imperial falcon;Z
Lion;agreeable possum;M
Cat;sophisticated chickadee;M
Lizard;bored tarsier;M
Horse;concrete vulture;Z
Parrot;united lobster;M
Cat;clean slug;Z
Bear;light beaver;M
Lizard;nice galliform;Z
Parrot;marine bandicoot;Z
Cat;front sole;Z
Lizard;jittery lynx;Z
Fox;racial falcon;Z
Lion;atomic badger;Z
Fox;western wallaby;Z
Parrot;entitled moth;Z
Lizard;white snail;M
Lion;semantic pheasant;Z
Horse;noisy firefly;Z
Dog;tan goat;Z
Fox;useful alligator;M
Lion;big dingo;M
Horse;bad rabbit;M
Donkey;eldest partridge;M
Horse;tired bedbug;Z
Horse;integrated parakeet;M
Horse;sunny hippopotamus;M
Bear;easy mite;M
Dog;subtle harrier;M
Dog;physical earwig;Z
Lizard;funny ape;M
Bear;political hummingbird;M
Fox;scary tarantula;M
Parrot;selected bear;M
Lion;miniature parrot;Z
Horse;urban ocelot;M
Donkey;awake swordtail;Z
Dog;comprehensive fowl;M
Fox;shiny chameleon;Z
Fox;excited swift;Z
Cat;elated wildebeest;Z
Dog;annoyed condor;M
Tiger;calm stork;Z
Bear;elegant hoverfly;Z
Donkey;husky camel;M
Lizard;grotesque mite;Z
Tiger;subjective marmoset;Z
Cat;racial leech;Z
Horse;limited guppy;Z
Donkey;mushy toucan;M
Dog;greek parrotfish;M
Parrot;ordinary fly;M
Bear;neat seahorse;Z
Dog;feminist hummingbird;Z
Donkey;passive ant;Z
Horse;lazy reptile;M
Fox;heavy lobster;Z
Lizard;bitter kingfisher;Z
Fox;immediate swallow;Z
Cat;vulnerable lungfish;M
Cat;common mastodon;M
Lizard;slow elk;Z
Horse;manual newt;Z
Horse;artistic skunk;Z
Dog;previous aardvark;Z
Horse;cooperative louse;Z
Parrot;provincial cheetah;M
Dog;deliberate deer;Z
Fox;simple gecko;Z
Bear;cheerful possum;Z
Bear;coloured silverfish;M
Tiger;hostile jaguar;M
Bear;old frog;Z
Fox;spatial meerkat;M
Fox;financial finch;M
Cat;defiant planarian;Z
Horse;acute gibbon;M
Horse;shivering fish;Z
Cat;horizontal wildebeest;Z
Cat;outstanding squid;Z
Lizard;foolish giraffe;Z
Tiger;fluffy baboon;M
Fox;main cephalopod;M
Parrot;present trout;Z
Bear;sporting tick;M
Lizard;silent beetle;M
Bear;big cephalopod;Z
Bear;alert otter;M
Bear;petite cuckoo;M
Bear;inclined aardwolf;Z
Fox;hissing vulture;M
Horse;rich lynx;Z
Lizard;relative hookworm;Z
Horse;heavy camel;Z
Tiger;quiet leopon;Z
Dog;elegant whippet;Z
Parrot;sudden cow;Z
Fox;melodic booby;Z
Bear;blue roadrunner;M
Lizard;fierce toucan;Z
Donkey;private catfish;M
Parrot;upper vole;M
Parrot;misleading wallaby;M
Fox;pretty warbler;M
Lizard;dreadful salamander;M
Fox;intellectual alligator;M
Dog;small fox;M
Parrot;raspy sheep;M
Lion;spatial echidna;Z
Lion;new mule;M
Tiger;prominent canidae;M
Horse;vocational roundworm;M
Fox;classical halibut;M
Cat;gentle falcon;Z
Donkey;costly vicuna;M
Fox;dull quail;Z
Fox;constitutional camel;M
Lizard;industrial rodent;M
Lion;splendid xerinae;Z
Cat;mysterious swordtail;M
Bear;crazy coyote;M
Tiger;gross cattle;Z
Cat;lively aardvark;M
Cat;close cat;M
Donkey;busy weasel;M
Dog;effective eel;Z
Lizard;dynamic pig;Z
Lion;rich halibut;Z
Fox;tender koi;Z
Fox;solar antelope;M
Lizard;domestic beaver;Z
Parrot;sad orca;M
Lizard;juicy bovid;M
Cat;chosen chicken;Z
Lizard;specified python;M
Lizard;broken bonobo;Z
Cat;integrated salamander;M
Lion;future gerbil;Z
Donkey;imaginative roadrunner;Z
Dog;financial skunk;M
Lizard;acute antelope;M
Horse;silly marsupial;M
Lion;gradual mandrill;Z
Lion;resulting grouse;M
Fox;clever lungfish;M
Lizard;labour penguin;M
Tiger;confused wolverine;M
Dog;outer dove;M
Bear;silky gayal;M
Horse;powerful tiglon;M
Parrot;horrible skink;M
Lizard;disciplinary coral;M
Cat;collective mastodon;M
Fox;surprised wildcat;Z
Lion;direct starfish;M
Lion;flexible tick;Z
Tiger;upper gayal;Z
Tiger;communist gamefowl;Z
Tiger;fierce jay;M
Donkey;tender raven;M
Donkey;wide crab;M
Horse;excessive crawdad;M
Fox;special crow;M
Lion;extraordinary barnacle;M
Donkey;united herring;Z
Fox;worthwhile cat;Z
Fox;shaggy rook;M
Fox;major ferret;M
Fox;unexpected warbler;Z
Horse;grey donkey;M
Cat;round goat;M
Bear;short snail;M
Cat;white wombat;Z
Bear;passing ape;M
Horse;numerous spider;Z
Lion;damp urial;M
Donkey;fantastic dove;M
Cat;devoted urial;Z
Cat;careful vole;Z
Fox;honest parrot;M
Fox;confused tapir;M
Parrot;crooked rhinoceros;Z
Cat;miserable weasel;M
Parrot;absent mandrill;M
Fox;grubby marsupial;M
Lion;tiny stoat;M
Parrot;minimum coyote;M
Parrot;tame boa;M
Dog;new ant;Z
Parrot;significant aardvark;M
Tiger;victorian cat;M
Lizard;correct quelea;M
Bear;peaceful pike;Z
Donkey;lonely whale;Z
Fox;real penguin;Z
Horse;famous possum;M
Cat;dusty haddock;Z
Lizard;unusual constrictor;Z
Dog;whispering tyrannosaurus;M
Lion;jealous badger;M
Horse;opposite buzzard;M
Tiger;absolute walrus;M
Dog;dusty aardwolf;M
Horse;solar armadillo;Z
Lizard;voiceless squid;M
Parrot;fellow lungfish;Z
Lion;vulnerable warbler;Z
Horse;solid mule;M
Horse;thick ladybug;Z
Bear;fatal vulture;M
Donkey;dreadful opossum;Z
Lion;round porpoise;M
Lion;doubtful panda;M
Horse;supposed shark;Z
Horse;stuck pig;M
Lion;curious cougar;Z
Parrot;slim pike;Z
Bear;filthy bee;Z
Tiger;complicated mouse;Z
Donkey;sorry bandicoot;M
Tiger;colorful mammal;Z
Parrot;experienced flea;M
Lion;long sturgeon;M
Parrot;complex python;Z
Cat;prickly giraffe;Z
Lion;senior wombat;M
Tiger;ripe stoat;Z
Cat;famous guppy;Z
Bear;small otter;Z
Donkey;favourable starfish;M
Dog;male cheetah;Z
Horse;unaware koi;Z
Tiger;broken chicken;M
Lion;fashionable moth;Z
Horse;evil ox;Z
Bear;missing peafowl;M
Horse;crazy cuckoo;Z
Fox;known swordfish;M
Lion;helpful horse;M
Tiger;zany goose;Z
Dog;unacceptable cuckoo;M
Fox;unknown earthworm;M
Donkey;expected wolf;M
Dog;previous slug;M
Bear;scary grasshopper;M
Parrot;ideological cardinal;M
Cat;brave cod;Z
Lion;numerous owl;M
Horse;creepy mackerel;Z
Parrot;intimate raccoon;Z
Lizard;tense stork;Z
Tiger;ideal camel;Z
Horse;tall ostrich;Z
Lizard;stuck eagle;M
Cat;opposite primate;Z
Horse;foolish cockroach;M
Lion;doubtful cephalopod;M
Fox;joyous whippet;Z
Tiger;precise orca;Z
Lizard;far marten;M
Cat;horrible canidae;Z
Parrot;charming crab;Z
Lizard;intense xerinae;M
Donkey;polite orca;M
Donkey;guilty rabbit;Z
Tiger;temporary orca;M
Lion;living mammal;M
Lizard;tragic planarian;Z
Horse;heavy ocelot;M
Tiger;round mite;Z
Bear;modern lemming;Z
Tiger;splendid snipe;Z
Donkey;excessive pig;Z
Horse;ideal turkey;Z
Lizard;thundering pig;Z
Fox;costly gamefowl;Z
Fox;official orangutan;M
Bear;unable prawn;M
Horse;coherent amphibian;M
Horse;net horse;M
Bear;brief barracuda;Z
Horse;professional wildcat;M
Lizard;funny otter;M
Donkey;dirty harrier;Z
Cat;institutional hawk;Z
Dog;voluntary canid;Z
Lion;rigid buzzard;Z
Lion;inevitable thrush;Z
Lizard;enormous seahorse;M
Cat;mutual galliform;Z
Horse;automatic otter;Z
Lion;nice roadrunner;M
Lion;bright guan;M
Lizard;watery orangutan;M
Dog;official cephalopod;Z
Parrot;french silkworm;Z
Donkey;necessary grasshopper;M
Fox;amused swift;Z
Lizard;scary rabbit;M
Lion;novel porcupine;M
Bear;added horse;Z
Bear;blank warbler;Z
Tiger;aesthetic chipmunk;Z
Dog;aesthetic donkey;Z
Fox;empty lynx;Z
Bear;ready hedgehog;M
Dog;elegant gorilla;M
Parrot;late sawfish;Z
Bear;prepared louse;M
Fox;light hornet;M
Donkey;incredible antlion;Z
Lizard;dangerous ant;Z
Fox;loud felidae;Z
Horse;clear lemming;M
Cat;western donkey;Z
Tiger;delicious crane;M
Tiger;prime otter;M
Parrot;outside tiglon;Z
Lizard;excited locust;M
Fox;formidable primate;M
Lion;mild bison;Z
Parrot;minor rattlesnake;Z
Bear;quiet rhinoceros;Z
Parrot;fat stoat;M
Fox;coloured cattle;Z
Tiger;dizzy alpaca;Z
Horse;shaky fish;Z
Tiger;marvellous llama;Z
Horse;blue vulture;M
Parrot;competitive shrew;M
Dog;flexible mastodon;M
Cat;impressive herring;M
Tiger;identical ostrich;Z
Dog;governing meerkat;M
Bear;daily moose;M
Parrot;metropolitan chipmunk;Z
Lion;managing donkey;M
Cat;unable pony;M
Lion;secure orca;Z
Lizard;corporate hawk;Z
Lion;innocent monkey;M
Parrot;impressive minnow;M
Donkey;apparent trout;Z
Lion;sacred alpaca;Z
Dog;squealing quail;M
Bear;low rodent;Z
Bear;numerous bird;Z
Horse;aggregate porcupine;Z
Donkey;substantial octopus;M
Horse;short sloth;M
Parrot;excited basilisk;Z
Tiger;characteristic iguana;Z
Parrot;beautiful barnacle;Z
Lizard;representative ant;Z
Dog;blue turtle;Z
Tiger;fat meadowlark;M
Bear;sound caterpillar;M
Parrot;rural hedgehog;M
Bear;useless chipmunk;M
Tiger;scattered harrier;Z
Fox;fine dog;M
Parrot;ridiculous limpet;Z
Dog;long hare;M
Dog;hurt bison;M
Donkey;thorough shrimp;M
Bear;unsightly bat;M
Tiger;hard aardvark;M
Fox;living alligator;Z
Donkey;striking parrot;M
Parrot;feminist bobcat;Z
Horse;redundant leech;M
Horse;inherent swift;M
Donkey;rough salamander;Z
Cat;wild albatross;Z
Lion;great squid;Z
Cat;cute elk;M
Lion;fit tapir;Z
Bear;round quelea;M
Dog;wicked turkey;M
Parrot;golden cobra;M
Lizard;lesser goat;Z
Parrot;alone lark;Z
Horse;weird mule;M
Donkey;alleged hummingbird;Z
Tiger;wooden finch;Z
Donkey;contemporary wren;Z
Donkey;live spoonbill;Z
Dog;upset coral;Z
Donkey;occasional chipmunk;M
Lizard;practical alligator;Z
Lion;overwhelming skink;M
Bear;outstanding platypus;M
Parrot;stuck anteater;M
Parrot;redundant mole;Z
Horse;muddy tiger;Z
Bear;dynamic anglerfish;Z
Lizard;past heron;Z
Parrot;safe earthworm;Z
Cat;stupid frog;M
Horse;economic weasel;M
Lizard;steady tiglon;M
Bear;rapid frog;M
Donkey;financial lizard;M
Tiger;indirect cattle;M
Lizard;faint donkey;Z
Bear;fair koi;Z
Bear;plain pelican;M
Bear;furious wildcat;M
Parrot;quick guan;Z
Fox;important carp;Z
Bear;rear bass;M
Parrot;average mongoose;M
Tiger;mobile ladybug;Z
Cat;pleasant fox;Z
Lizard;clever mole;M
Cat;ripe chickadee;M
Tiger;huge prawn;M
Lizard;accused dolphin;M
Cat;vulnerable squirrel;M
Donkey;primitive perch;Z
Cat;white rhinoceros;M
Fox;simple perch;Z
Bear;marine porpoise;Z
Lizard;silly vicuna;Z
Lizard;french barnacle;M
Lion;condemned marmoset;Z
Parrot;ugly dinosaur;Z
Horse;civil yak;Z
Lion;distinguished zebra;Z
Lion;civil crocodile;Z
Lizard;dutch rhinoceros;M
Tiger;silly dingo;Z
Cat;thirsty basilisk;Z
Tiger;chubby tern;Z
Donkey;overwhelming catshark;M
Lizard;administrative swift;Z
Donkey;tiny tyrannosaurus;Z
Lion;straight macaw;M
Fox;final tyrannosaurus;M
Tiger;exciting spider;M
Lion;living lion;Z
Fox;quaint squid;M
Tiger;tiny cougar;Z
Cat;obnoxious lemming;M
Fox;provincial cod;Z
Lizard;brief wildfowl;M
Parrot;wandering hedgehog;Z
Tiger;tender gazelle;M
Lizard;notable sturgeon;Z
Lion;extra chicken;Z
Lizard;worried tortoise;M
Bear;gross clam;Z
Horse;striped cockroach;Z
Tiger;aggressive cat;M
Cat;agreed flamingo;Z
Cat;passing gamefowl;Z
Tiger;delicate horse;M
Fox;hard cricket;M
Horse;favourite tern;Z
Horse;quick aardvark;Z
Bear;decisive jay;Z
Bear;great guan;M
Fox;systematic asp;M
Horse;teenage ferret;Z
Dog;frantic gibbon;Z
Bear;ok pheasant;Z
Lion;robust vicuna;M
Lion;principal krill;Z
Horse;lucky trout;Z
Dog;worried duck;Z
Bear;deafening prawn;M
Bear;obnoxious vulture;Z
Parrot;mechanical viper;Z
Parrot;spare wallaby;Z
Bear;desperate monkey;M
Bear;cool sole;Z
Donkey;digital wombat;Z
Dog;big eagle;Z
Cat;regular weasel;M
Tiger;salty leopard;Z
Bear;bottom firefly;M
Lion;ugly whitefish;M
Parrot;open earwig;Z
Dog;nutritious crayfish;M
Donkey;great fish;M
Donkey;inner chickadee;Z
Parrot;colorful rook;M
Tiger;diplomatic lungfish;Z
Parrot;Sound cricket;M
Tiger;unexpected rabbit;Z
Lion;bored kiwi;Z
Donkey;excited halibut;Z
Bear;legitimate whale;M
Bear;mass snail;Z
Dog;mechanical flyingfish;Z
Fox;female parrot;Z
Dog;main tahr;M
Bear;intermediate orca;M
Lizard;above mite;Z
Dog;dry dog;M
Dog;inc scallop;Z
Dog;massive anteater;M
Bear;unconscious bat;M
Bear;noisy fowl;M
Lizard;continental peacock;Z
Dog;immediate dragon;Z
Bear;thick hoverfly;Z
Cat;fixed squirrel;M
Bear;adorable roundworm;M
Lizard;overseas koala;M
Donkey;allied clam;Z
Donkey;chubby sturgeon;M
Lizard;jealous tern;M
Parrot;long silverfish;Z
Lizard;victorious dolphin;Z
Donkey;right canidae;M
Cat;central walrus;Z
Tiger;evil iguana;Z
Lizard;western platypus;Z
Dog;concerned snail;M
Tiger;soft silkworm;M
Fox;moderate bee;M
Lion;early gamefowl;M
Fox;excellent gerbil;M
Tiger;ideological salmon;M
Lizard;innocent loon;Z
Dog;young cockroach;Z
Tiger;wild meerkat;Z
Horse;better puma;Z
Horse;french mandrill;Z
Parrot;unexpected wolverine;Z
Lion;sudden toad;Z
Dog;purring mockingbird;Z
Horse;steady trout;Z
Donkey;wet viper;M
Lizard;unlikely chimpanzee;Z
Lizard;arbitrary bug;M
Horse;confused sparrow;Z
Lion;proposed earwig;Z
Cat;amazing giraffe;M
Tiger;long constrictor;M
Lizard;chilly tarsier;Z
Fox;vast marsupial;M
Parrot;prior heron;M
Cat;patient goldfish;M
Fox;dark catfish;Z
Lion;friendly alpaca;M
Fox;panicky ape;Z
Fox;horrible sawfish;M
Parrot;crazy worm;M
Fox;redundant cat;M
Lion;fair toucan;M
Parrot;tall salamander;M
Dog;crooked leopard;Z
Lion;worrying starfish;M
Fox;tender cattle;M
Fox;gleaming cat;Z
Donkey;pregnant orangutan;Z
Donkey;active gorilla;M
Dog;rapid fox;Z
Horse;novel sole;Z
Dog;vertical dormouse;M
Parrot;standard pike;Z
Dog;helpless bedbug;Z
Bear;open dolphin;M
Dog;circular flamingo;M
Lizard;logical asp;M
Cat;decisive ant;Z
Donkey;rough rhinoceros;M
Parrot;silly damselfly;Z
Bear;conscious cat;Z
Tiger;screeching jellyfish;Z
Lion;late cow;M
Parrot;absolute catfish;M
Dog;swiss catfish;Z
Horse;mass perch;M
Lion;slow rhinoceros;Z
Lion;psychiatric ant;M
Lizard;chemical anaconda;Z
Donkey;evil scallop;M
Lizard;universal gopher;Z
Dog;convinced tuna;M
Horse;inner wolf;M
Donkey;novel ptarmigan;M
Lion;small weasel;M
Parrot;physical wren;Z
Lion;presidential sturgeon;Z
Cat;intermediate whitefish;M
